Разговоры о роботах
/////Роботы и роботы и
/////Паяльник
/////Тоже паяльник
/////Графовые алгоритмы
/////Анализ сложности алгоритмов
/////Реализация быстрой сортировки
/////Реализация обхода в глубину
/////Замечательные пределы
/////Двойные интегралы
/////Рассчет интегралов 1
/////Рассчет интегралов 2
/////Транспонирование матрицы
/////Матрицы и их определители
/////Решение СЛАУ методом Гаусса
/////Решение СЛАУ методом Гаусса
/////Дифф. ур-я первого порядка
/////Дифференциальные уравнения в реальной жизни
/////Рассчет дифф. уров.
/////Рассчет дифф. уров. 2-го порядка
/////Зависимые и независимые события
/////Мат. ожидание, дисперсия
/////Рассчет вероятности выигрыша в лотерею
/////Рассчет вероятности чего-то там
/////Построение модели мат. моделирования
/////Моделирование как смысл жизни голубя
/////Моделирование стиральной машинки 
/////Моделирование моделирование
/////Применение методов статистики на практике
/////Поиск аномалий поведения психически больных людей в среднем
/////Просто лаба 
/////Тоже просто лаба
/////Выворачивание булево куба
/////Поиск булевого куба
/////Вворачивание булевого куба
/////Разворачивание куба, но не булевого
/////Понятие алгоритма
/////Зачем нужны алгоритмы
/////Разработка собственных алгоритмов
/////Переписывание алгоритмов на разных языках
/////Кодирование информации
/////Теория информации
/////Теория кодирования информации
/////Информация теории кодирования 
/////Построение логической цепочки из золота
/////Теоретические вычесления
/////Логическое вычисление числа PI в уме
/////Поиск неизведанного
/////Построение сетевой инфраструктуры сети быстрого питания
/////Топологии компьютерных сетей
/////Построение локальной сети военской части 
/////Построение локальной сети университета
/////Законы Ньютона на практике
/////Механическая сила, другие виды сил
/////Рассчет времени полета чугунного шара
/////Поиск куда шар приземлился на основе математических методов
/////Куда девается тепло
/////Введение в термодинамику
/////Разрывание атомов на шесть частей
/////Ручной подсчет количества молекул в лаборатории
/////Введение в электричество
/////Что такое электродинамика
/////Как нужно воровать электричество
/////Динамика электричества в замкнутой цепи
/////Квантовый парадокс Миллера
/////Введение в квантовую механику
/////Эксперимент Миллера над квантами
/////Ликвидация последствий прошлого эксперимента
/////Цвет
/////Свет во вселенной
/////Поиск цвета из иных миров
/////Сборка тестового стенда я-оптика-9000
/////Взращивание борщевика
/////Углерод как главный элемент
/////Рассчет количества выработанной энергии
/////Горение органических тел
/////Кислоты и щелочи
/////Химия металлов
/////Смешивание кислот
/////Ликвидация кислоты щелочью
/////Химия в физике
/////Физика в химии
/////Определение процента химии в физике
/////Определение процента физики в химии
/////Анализ химии
/////Химия анализов
/////Производство анализов для дальнейшего анализа
/////Химический анализ химии
/////Связь с биологией
/////Биороботы, работающие на кислоте
/////Проектирование биологического анализа хим. процессов
/////Хим. анализ процессов в организме
/////Сравнительный анализ географических систем
/////Географические ИС
/////Основы программирования
/////Разработка географической ис
/////Картография
/////Топография
/////Изучение принципов построения карт
/////Архивирование карт
/////Что такое геодезия
/////Что такое кадастр
/////Сбор гео-данных
/////Сбор кадастровых данных
/////Моделирование
/////Введение в геоинформационное моделирование
/////Построение базовой гео-инф. модели
/////Расширение гео-инф. модели
/////Процесс сбора данных в гео-инф. системах
/////Геоинформационные компьютерные системы
/////Сбор данных 
/////Анализ собранных данных
/////Хеширование
/////Основные алгоритмы и структуры данных
/////Реализация структуры данных Хеш-таблица
/////Реализация структуры данных Стек
/////Первая программа на C++
/////Сетевое программирование
/////Разработка чата на сокетах в C++
/////Добавление шифрования в разработанный чат
/////Проектирование схемы РСУБД. Нормальные формы
/////NoSQL базы данных. Их применение
/////Разработка системы мессенджера с точки зрения хранения данных
/////Развертывание кластера Cassandra
/////Методы системного анализа
/////Проектирование высоко нагруженных систем
/////Разработка системы документооборота военской части
/////Разработка системы стримингово сервиса
/////Динамическая маршрутизация
/////Маршрутизация и коммутация
/////Создание локальной сети предприятия
/////Масштабирование локальной сети
/////Уязвимости в БД
/////SQL инъекции
/////Внедрение SQL
/////Разработка защиты от внедрения SQL
/////Установка среды разработки Android Studio
/////Мобильные операционные системы
/////Первое Android приложение
/////Сетевое программирование в ОС Android
/////Python FastAPI
/////Структура современного веб-приложения на Python FastAPI
/////Настройка среды для разработки на Node.js
/////Сервис заказа такси на Node.js
/////TLS, SSL
/////Оценка рисков ИБ
/////Установка вирт. маш. Metasploitable
/////Использование уязвимости SMB протокола для получения удаленного доступа
/////Методы обработки data set
/////Анализ данных и компьютерное прогнозирование
/////Разработка системы компьютерного зрения
/////Анализ сетевого траффика
/////Внедрение IoT в металлургическое предприятие
/////Информационная безопасность в интернете вешей
/////Проектирование системы интернета вещей для умного дома
